"OrderNumber"|"OrderPlaced"|"OrderReady"|"ItemsOrdered"|"Delivery"|"DeliveryZipCode"|"DeliveryDistance"|"OrderDelivery"|"TotalPrice(NoTaxes)"
1|2016-01-01 12:22:24|2016-01-01 12:37:25|"Medium"|TRUE|70806|6.12004150678555|2016-01-01 13:08:01|11.59
2|2016-01-01 11:37:41|2016-01-01 11:52:40|"Large"|TRUE|70804|2.70270822033281|2016-01-01 12:06:10|15.35
3|2016-01-01 12:04:01|2016-01-01 12:19:01|"Medium"|TRUE|70805|1.82284109723321|2016-01-01 12:28:07|11.59
4|2016-01-01 11:04:42|2016-01-01 11:19:42|"Small"|TRUE|70808|0.406706500677033|2016-01-01 11:21:44|7.99
5|2016-01-01 12:30:53|2016-01-01 12:45:51|"Medium"|TRUE|70803|3.18546053386307|2016-01-01 13:01:46|11.59
6|2016-01-01 12:23:49|2016-01-01 12:38:48|"Small,Medium"|FALSE|70803|0|2016-01-01 12:41:49|19.58
7|2016-01-01 10:14:19|2016-01-01 10:29:17|"Large"|FALSE|70805|0|2016-01-01 10:32:15|15.35
8|2016-01-01 12:25:39|2016-01-01 12:40:38|"Small,Medium"|FALSE|70805|0|2016-01-01 12:43:37|19.58
9|2016-01-01 11:52:24|2016-01-01 12:07:23|"Medium"|TRUE|70807|4.4780137696803|2016-01-01 12:29:46|11.59
10|2016-01-01 10:46:41|2016-01-01 11:01:42|"Small,Medium"|TRUE|70804|5.29275433232331|2016-01-01 11:28:09|19.58
11|2016-01-01 11:24:09|2016-01-01 11:39:07|"Small,Medium,Large"|TRUE|70805|4.01231319863033|2016-01-01 11:59:10|33.93
12|2016-01-01 11:51:54|2016-01-01 12:06:54|"Medium"|FALSE|70803|0|2016-01-01 12:09:53|11.59
13|2016-01-01 11:43:24|2016-01-01 11:58:23|"Small,Medium"|TRUE|70803|2.66836758551286|2016-01-01 12:11:43|19.58
14|2016-01-01 12:19:18|2016-01-01 12:34:18|"Large"|TRUE|70804|2.93889586006393|2016-01-01 12:48:59|15.35
15|2016-01-01 11:06:58|2016-01-01 11:21:57|"Small"|FALSE|70803|0|2016-01-01 11:24:56|7.99
16|2016-01-01 11:55:33|2016-01-01 12:10:35|"Medium"|FALSE|70806|0|2016-01-01 12:13:33|11.59
17|2016-01-01 11:46:56|2016-01-01 12:01:54|"Medium"|TRUE|70805|2.35589396130794|2016-01-01 12:13:40|11.59
18|2016-01-01 11:26:13|2016-01-01 11:41:14|"Medium"|FALSE|70803|0|2016-01-01 11:44:14|11.59
19|2016-01-01 11:36:33|2016-01-01 11:51:33|"Medium"|TRUE|70806|2.12867402219849|2016-01-01 12:02:11|11.59
20|2016-01-01 11:26:03|2016-01-01 11:41:03|"Large"|TRUE|70806|2.84247536288601|2016-01-01 11:55:15|15.35
21|2016-01-01 11:35:04|2016-01-01 11:50:04|"Small,Large"|TRUE|70804|0.399920781645957|2016-01-01 11:52:03|23.34
22|2016-01-01 12:16:26|2016-01-01 12:31:26|"Medium"|FALSE|70805|0|2016-01-01 12:34:25|11.59
23|2016-01-01 13:27:30|2016-01-01 13:42:29|"Medium"|FALSE|70803|0|2016-01-01 13:45:28|11.59
24|2016-01-02 12:08:54|2016-01-02 12:23:54|"Large"|TRUE|70805|4.09557538349626|2016-01-02 12:44:22|15.35
25|2016-01-02 11:18:12|2016-01-02 11:33:12|"Medium"|FALSE|70805|0|2016-01-02 11:36:11|11.59
26|2016-01-02 12:05:51|2016-01-02 12:20:50|"Small,Medium"|FALSE|70806|0|2016-01-02 12:23:49|19.58
27|2016-01-02 13:53:51|2016-01-02 14:08:50|"Small"|TRUE|70804|1.00933717274266|2016-01-02 14:13:52|7.99
28|2016-01-02 12:54:45|2016-01-02 13:09:45|"Small,Medium"|FALSE|70806|0|2016-01-02 13:12:44|19.58
29|2016-01-02 10:16:23|2016-01-02 10:31:24|"Medium"|FALSE|70804|0|2016-01-02 10:34:24|11.59
30|2016-01-02 11:48:34|2016-01-02 12:03:34|"Medium"|FALSE|70804|0|2016-01-02 12:06:34|11.59
31|2016-01-02 11:54:35|2016-01-02 12:09:33|"Small,Medium"|TRUE|70803|3.37662058136065|2016-01-02 12:26:25|19.58
32|2016-01-02 13:29:20|2016-01-02 13:44:18|"Large"|FALSE|70805|0|2016-01-02 13:47:19|15.35
33|2016-01-02 10:48:55|2016-01-02 11:03:54|"Medium"|FALSE|70805|0|2016-01-02 11:06:54|11.59
34|2016-01-02 10:01:43|2016-01-02 10:16:42|"Medium"|TRUE|70803|3.45743769513199|2016-01-02 10:33:59|11.59
35|2016-01-02 12:32:31|2016-01-02 12:47:30|"Small,Medium"|TRUE|70805|0.867557488199565|2016-01-02 12:51:50|19.58
36|2016-01-02 12:44:52|2016-01-02 12:59:51|"Small,Medium"|TRUE|70803|4.08722657040219|2016-01-02 13:20:17|19.58
37|2016-01-02 10:59:25|2016-01-02 11:14:24|"Small"|FALSE|70806|0|2016-01-02 11:17:24|7.99
38|2016-01-02 12:03:14|2016-01-02 12:18:13|"Small,Medium"|TRUE|70806|2.33566507783744|2016-01-02 12:29:53|19.58
39|2016-01-02 11:11:08|2016-01-02 11:26:08|"Large"|TRUE|70805|5.00861571312529|2016-01-02 11:51:10|15.35
40|2016-01-02 10:38:23|2016-01-02 10:53:24|"Medium"|FALSE|70805|0|2016-01-02 10:56:24|11.59
41|2016-01-02 11:28:37|2016-01-02 11:43:35|"Large"|TRUE|70804|1.02296043381897|2016-01-02 11:48:41|15.35
42|2016-01-02 12:33:04|2016-01-02 12:48:03|"Large"|TRUE|70805|0.514439091405877|2016-01-02 12:50:37|15.35
